frame_number,total_vehicles,unique_vehicles,count_car,count_motorcycle,count_bus,count_truck,avg_speed_px
1,6,6,5,0,0,1,0.0
2,6,6,5,0,0,1,0.0
3,6,6,5,0,0,1,0.0
4,5,6,5,0,0,0,2.23
5,5,6,5,0,0,0,2.23
6,5,6,5,0,0,0,2.23
7,4,6,4,0,0,0,0.55
8,4,6,4,0,0,0,0.55
9,4,6,4,0,0,0,0.55
10,4,6,4,0,0,0,0.38
11,4,6,4,0,0,0,0.38
12,4,6,4,0,0,0,0.38
13,4,6,4,0,0,0,0.12
14,4,6,4,0,0,0,0.12
15,4,6,4,0,0,0,0.12
16,4,6,4,0,0,0,0.3
17,4,6,4,0,0,0,0.3
18,4,6,4,0,0,0,0.3
19,4,6,4,0,0,0,0.25
20,4,6,4,0,0,0,0.25
21,4,6,4,0,0,0,0.25
22,3,6,3,0,0,0,0.17
23,3,6,3,0,0,0,0.17
24,3,6,3,0,0,0,0.17
25,4,6,4,0,0,0,0.33
26,4,6,4,0,0,0,0.33
27,4,6,4,0,0,0,0.33
28,3,6,3,0,0,0,0.17
29,3,6,3,0,0,0,0.17
30,3,6,3,0,0,0,0.17
31,4,6,4,0,0,0,0.5
32,4,6,4,0,0,0,0.5
33,4,6,4,0,0,0,0.5
34,2,6,2,0,0,0,0.25
35,2,6,2,0,0,0,0.25
36,2,6,2,0,0,0,0.25
37,3,6,3,0,0,0,0.25
38,3,6,3,0,0,0,0.25
39,3,6,3,0,0,0,0.25
40,4,6,4,0,0,0,0.24
41,4,6,4,0,0,0,0.24
42,4,6,4,0,0,0,0.24
43,3,6,3,0,0,0,0.4
44,3,6,3,0,0,0,0.4
45,3,6,3,0,0,0,0.4
46,2,6,2,0,0,0,0.25
47,2,6,2,0,0,0,0.25
48,2,6,2,0,0,0,0.25
49,2,6,2,0,0,0,0.25
50,2,6,2,0,0,0,0.25
51,2,6,2,0,0,0,0.25
52,3,6,3,0,0,0,0.25
53,3,6,3,0,0,0,0.25
54,3,6,3,0,0,0,0.25
55,3,6,3,0,0,0,0.54
56,3,6,3,0,0,0,0.54
57,3,6,3,0,0,0,0.54
58,3,6,3,0,0,0,0.57
59,3,6,3,0,0,0,0.57
60,3,6,3,0,0,0,0.57
61,3,6,3,0,0,0,0.5
62,3,6,3,0,0,0,0.5
63,3,6,3,0,0,0,0.5
64,3,6,3,0,0,0,0.33
65,3,6,3,0,0,0,0.33
66,3,6,3,0,0,0,0.33
67,3,6,3,0,0,0,0.33
68,3,6,3,0,0,0,0.33
69,3,6,3,0,0,0,0.33
70,3,6,3,0,0,0,0.17
71,3,6,3,0,0,0,0.17
72,3,6,3,0,0,0,0.17
73,3,7,3,0,0,0,0.25
74,3,7,3,0,0,0,0.25
75,3,7,3,0,0,0,0.25
76,4,7,4,0,0,0,1.96
77,4,7,4,0,0,0,1.96
78,4,7,4,0,0,0,1.96
79,3,7,3,0,0,0,1.82
80,3,7,3,0,0,0,1.82
81,3,7,3,0,0,0,1.82
82,3,7,3,0,0,0,1.28
83,3,7,3,0,0,0,1.28
84,3,7,3,0,0,0,1.28
85,3,7,3,0,0,0,1.0
86,3,7,3,0,0,0,1.0
87,3,7,3,0,0,0,1.0
88,4,8,4,0,0,0,1.87
89,4,8,4,0,0,0,1.87
90,4,8,4,0,0,0,1.87
91,4,8,4,0,0,0,1.19
92,4,8,4,0,0,0,1.19
93,4,8,4,0,0,0,1.19
94,4,8,4,0,0,0,1.53
95,4,8,4,0,0,0,1.53
